employee_id,full_name_ar,national_id,department,job_title,monthly_salary_sar,bank_iban,mobile,biometric_on_file,hire_date
E00041,بيان الرشيدي,1879241022,الموارد البشرية,أمين مستودع,33000,SA8486408016220429888550,+966579874411,نعم,2010-01-17
E00042,عبدالرحمن السبيعي,1918192459,الاتصال المؤسسي,مسؤول مشتريات,27500,SA9732305227208955467856,+966570873102,لا,2016-09-10
E00043,حمزة البقمي,1454852102,الشؤون القانونية,مدير,6500,SA3267534021367398897780,+966598663290,لا,2018-01-26
E00044,فيصل الحوساوي,1539266971,المالية,محاسب,41000,SA3976145075582891050047,+966570502300,نعم,2025-03-06
E00045,عبدالرحمن العامري,1707412746,إدارة المخاطر,مشرف,8500,SA2437424823600356603158,+966597077159,نعم,2025-11-16
E00046,أحمد الشريف,1040020081,المالية,مسؤول مشتريات,8500,SA8553649747776551875808,+966593435500,نعم,2019-11-04
E00047,سارة الحميدي,1036776258,التشغيل,مسؤول مشتريات,18000,SA0697628424882729670636,+966533907531,لا,2023-07-13
E00048,رانيا الشريف,1985514692,التشغيل,باحث,27500,SA8531128913109620794416,+966594395141,لا,2011-11-30
E00049,طلال الزبيدي,1041340256,تقنية المعلومات,مختص,6500,SA6285809748574041490711,+966557287875,نعم,2013-09-23
E00050,لؤي السبيعي,1791222944,الخدمات المساندة,أمين مستودع,33000,SA3934018297906309891566,+966588922983,نعم,2022-07-26
E00051,سحر المطيري,1229358062,إدارة المخاطر,محلل,41000,SA3707781302497163768531,+966578570195,نعم,2018-08-31
E00052,ريم الغامدي,1346749367,إدارة المعرفة,أخصائي,22000,SA9681387563467234159677,+966524239318,نعم,2012-03-17
E00053,رانيا المسعود,1878313616,ضبط الجودة,موظف خدمة عملاء,6500,SA0820645697026081147717,+966513384680,لا,2025-05-31
E00054,صالح العمري,1771025051,الاتصال المؤسسي,مستشار,11000,SA4702964905907442246345,+966556788140,لا,2023-10-24
E00055,زينب الربيعي,1211930589,الموارد البشرية,كبير محللين,18000,SA5566978022576469461293,+966590550388,نعم,2019-02-25
E00056,فهد الجهني,1045433594,إدارة المخاطر,مختص,41000,SA2422791138161510609231,+966584200425,نعم,2021-03-27
E00057,سحر الصاعدي,1481277653,الموارد البشرية,كبير محللين,41000,SA7197098633220529573325,+966566054635,لا,2021-06-08
E00058,صالح البلوي,1026512531,التخطيط والتطوير,مدير عام مساعد,55000,SA7944370324668026489441,+966564393666,نعم,2022-03-19
E00059,أريج الهاجري,1292255690,التدقيق الداخلي,موظف خدمة عملاء,18000,SA5575766152183924831366,+966559746805,لا,2011-09-17
E00060,باسل العسيري,1461292078,إدارة المعرفة,مدير عام مساعد,14500,SA9620774860551870312245,+966502738585,نعم,2015-06-07
E00061,غدير المسعود,1894995388,الموارد البشرية,موظف خدمة عملاء,6500,SA1274051527027772697534,+966528383985,نعم,2019-04-20
E00062,رند الرشيدي,1995888482,الخدمات المساندة,محلل,11000,SA6535285250708270537407,+966556164987,نعم,2021-06-12
E00063,بشاير الحربي,1902015302,المشتريات,مهندس,41000,SA0897340659507981679017,+966518722509,لا,2017-06-11
E00064,حنان البقمي,1890871385,المشتريات,محاسب,14500,SA2993049312131359829325,+966542019976,نعم,2014-04-15
E00065,ماجد الحميدي,1114018623,تقنية المعلومات,رئيس قسم,33000,SA7700453265986293650157,+966520407904,لا,2023-09-28
E00066,أيمن الشريف,1931041295,الخدمات المساندة,مسؤول مشتريات,11000,SA5875653396897617239014,+966561758616,لا,2025-04-02
E00067,خلود اليامي,1019951324,إدارة المعرفة,باحث,27500,SA6345878087190379091531,+966560985087,نعم,2022-08-02
E00068,باسل اليامي,1087826507,تقنية المعلومات,محلل,33000,SA9623511339485875903029,+966507556006,لا,2014-08-23
E00069,حسين العرجاني,1528674037,الشؤون القانونية,مدقق حسابات,18000,SA7682322214158091310799,+966514619653,لا,2013-12-21
E00070,وفاء الخالدي,1359979893,تقنية المعلومات,مدير,22000,SA9763534501146878724930,+966531894759,نعم,2021-05-19
E00071,أنس الحميدي,1125782415,المشتريات,مشرف,14500,SA4444766094353406275263,+966532917278,نعم,2017-08-05
E00072,مازن الهاجري,1237981954,ضبط الجودة,مطور برمجيات,55000,SA1138340631071299763375,+966591033064,نعم,2023-06-18
E00073,عبدالعزيز الجهني,1800191700,المالية,كبير محللين,41000,SA4105172551359553970978,+966561272355,نعم,2021-10-02
E00074,كريم الشهراني,1738688090,تقنية المعلومات,رئيس قسم,14500,SA3514844135095724459349,+966503612143,نعم,2022-10-07
E00075,أنوار الحميدي,1835494004,الموارد البشرية,كبير محللين,14500,SA5173192806023757140951,+966527763212,نعم,2019-02-07
E00076,ماجد الشهري,1344130586,الخدمات المساندة,مطور برمجيات,41000,SA8685915848602068162220,+966599303098,نعم,2021-04-07
E00077,عبير المطيري,1974828269,الموارد البشرية,محاسب,41000,SA4170328484005971775063,+966576755673,لا,2024-12-14
E00078,لين الخالدي,1666628936,إدارة المخاطر,أمين مستودع,8500,SA7855501737090902070614,+966542404834,لا,2011-01-26
E00079,أنس الخالدي,1724331614,التخطيط والتطوير,أخصائي,11000,SA5856463202946398003824,+966597270824,نعم,2016-10-03
E00080,هيفاء التميمي,1718041823,الشؤون القانونية,باحث,22000,SA7009976929186610012316,+966527172385,نعم,2023-05-04
E00081,عبدالله المقرن,1024094896,الاتصال المؤسسي,مسؤول مشتريات,22000,SA3128688464368441028937,+966525434785,لا,2012-02-29
E00082,عبدالرحمن الزياني,1342876024,تقنية المعلومات,محاسب,55000,SA7274362666092848374912,+966565482910,لا,2017-09-15
E00083,ريم البلوي,1805005541,إدارة المعرفة,مهندس,27500,SA1450735957698730263282,+966509594919,نعم,2021-07-03
E00084,رند الزهراني,1853079984,المشتريات,مصمم,41000,SA5455961437365170390331,+966540283255,لا,2014-03-30
E00085,رند اليامي,1627329012,التخطيط والتطوير,محاسب,55000,SA8270249519996098359771,+966534738472,لا,2010-03-15
E00086,نادية الربيعي,1522946852,التشغيل,محاسب,33000,SA2196407423722835311130,+966542663090,نعم,2023-10-14
E00087,سحر الرويلي,1820397964,التدقيق الداخلي,مختص,11000,SA3596939855137346350714,+966509555262,نعم,2025-05-14
E00088,نجود التميمي,1725190340,المشتريات,أخصائي,33000,SA9075763289706191021221,+966599529522,نعم,2012-10-13
E00089,جاسم الهاجري,1244498596,الموارد البشرية,منسق,8500,SA2883294184970306458916,+966568887847,نعم,2018-10-04
E00090,جاسم العنزي,1304928078,التخطيط والتطوير,مهندس,41000,SA6593456760857654051966,+966532056409,لا,2018-05-16
E00091,حمد الشهري,1718915471,إدارة المعرفة,باحث,6500,SA0873935774572125799122,+966527140207,لا,2020-02-29
E00092,أحمد الحربي,1626090672,تقنية المعلومات,مدير عام مساعد,27500,SA8183565014170885568072,+966535535258,لا,2022-07-17
E00093,نادية الزبيدي,1632918908,إدارة المعرفة,أمين مستودع,11000,SA1149771738121193198717,+966544224755,لا,2026-05-16
E00094,رامي الربيعي,1051075065,التشغيل,مدير عام مساعد,11000,SA4374767722310112306826,+966530025994,لا,2015-09-19
E00095,إبراهيم الرشيدي,1629838960,ضبط الجودة,باحث,41000,SA7808540394346815760703,+966526650151,لا,2016-01-03
E00096,دلال الخالدي,1582410849,الموارد البشرية,رئيس قسم,41000,SA9825236489518830824945,+966588573180,نعم,2018-12-07
E00097,حنان الرشيدي,1319803738,إدارة المخاطر,مصمم,11000,SA2842834186813250434442,+966598976112,لا,2023-10-21
E00098,عمر المقرن,1585945122,المشتريات,أخصائي,6500,SA7238948509170413305154,+966571046345,لا,2016-02-16
E00099,ديمة الفيفي,1723820591,التشغيل,منسق,41000,SA5295723855656247844115,+966510199914,نعم,2018-03-07
E00100,فهد العرجاني,1967566785,تقنية المعلومات,رئيس قسم,27500,SA6476316390242774398898,+966591868685,نعم,2013-10-31
E00101,إيمان الحوساوي,1556255162,التدقيق الداخلي,منسق,18000,SA6676832756379613873265,+966526680043,نعم,2010-10-23
E00102,زينب الحازمي,1184601035,المشتريات,مصمم,22000,SA8475770702185328480367,+966536055909,لا,2016-04-26
E00103,ماجد العنزي,1941903211,الخدمات المساندة,أمين مستودع,18000,SA0548318555817507162842,+966578784511,نعم,2024-04-22
E00104,غانم الرشيدي,1884522184,إدارة المعرفة,أخصائي,14500,SA8030747287367738053344,+966506225791,نعم,2014-08-08
E00105,هند المطيري,1014577439,التخطيط والتطوير,أخصائي,27500,SA6679810144354514113584,+966540962298,لا,2026-05-22
E00106,نادية الشمري,1363755180,إدارة المعرفة,رئيس قسم,22000,SA1104665530289858243501,+966589744130,نعم,2024-08-31
E00107,نواف الشهراني,1625740624,إدارة المخاطر,منسق,41000,SA1808109142076212274972,+966560248442,لا,2020-08-28
E00108,هبة الأسمري,1907990400,الخدمات المساندة,مطور برمجيات,18000,SA5497495145153969777271,+966524332545,نعم,2011-10-31
E00109,منصور السهلي,1200140737,تقنية المعلومات,باحث,55000,SA0503621943115449875494,+966535386352,لا,2019-11-05
E00110,راشد المالكي,1836912087,تقنية المعلومات,منسق,8500,SA5642616402685791797113,+966541938851,لا,2018-02-20
E00111,فيصل الزياني,1328969348,المالية,مختص,27500,SA5125362384173207038734,+966576003881,نعم,2019-01-03
E00112,صفاء الشهري,1780022636,الاتصال المؤسسي,باحث,41000,SA5558130136891309961920,+966558003279,لا,2022-01-23
E00113,لمى الرويلي,1219040472,إدارة المخاطر,منسق,55000,SA8159689763543784477259,+966552680543,لا,2021-11-25
E00114,صفاء المالكي,1042457265,التخطيط والتطوير,مسؤول مشتريات,55000,SA5319288064458601119908,+966529320117,لا,2025-04-18
E00115,سلطان المقرن,1448706695,التخطيط والتطوير,مستشار,6500,SA2923667675972782650640,+966564962512,لا,2025-08-01
E00116,نادية العرجاني,1182752061,الشؤون القانونية,محلل,41000,SA6644051975353844374938,+966549648496,لا,2023-09-17
E00117,حمد الشهراني,1098646035,المشتريات,مدير,11000,SA1847211345886862899886,+966580283828,نعم,2011-07-20
E00118,صفاء المطيري,1765588676,إدارة المعرفة,محلل,8500,SA6696340700471081750133,+966570659255,نعم,2023-08-18
E00119,نورة الصاعدي,1774139966,إدارة المعرفة,أخصائي,18000,SA9118398776738352511108,+966556390869,نعم,2011-11-25
E00120,شيماء الحربي,1111316269,إدارة المخاطر,مدير,41000,SA1413192858018458405673,+966569410561,لا,2025-12-16
E00121,إيمان العوفي,1486617705,المشتريات,مصمم,14500,SA3161235785840106584962,+966507694769,لا,2019-08-19
E00122,حمزة الخالدي,1590689020,الخدمات المساندة,رئيس قسم,27500,SA1518337139253928095698,+966532636813,نعم,2011-05-08
E00123,مروة الحوساوي,1899380891,ضبط الجودة,محاسب,18000,SA2363794632884874282515,+966589123719,نعم,2018-11-05
E00124,محمد العرجاني,1391296801,التدقيق الداخلي,أمين مستودع,6500,SA2631215901776779349935,+966525245741,لا,2014-09-26
E00125,رند الشهري,1950674612,الاتصال المؤسسي,مشرف,6500,SA3936209667859098118577,+966528480494,نعم,2025-05-23
E00126,مياء الرويلي,1265388809,إدارة المخاطر,مدير عام مساعد,27500,SA9020976781232537332191,+966504785830,نعم,2019-02-11
E00127,وفاء العرجاني,1320359837,التخطيط والتطوير,مهندس,14500,SA1984158792205243489580,+966543153417,نعم,2020-04-09
E00128,هند العمري,1110355607,الاتصال المؤسسي,مشرف,27500,SA7849721095575444664337,+966524234034,نعم,2019-10-30
E00129,وفاء العمري,1584187155,التدقيق الداخلي,مدير,22000,SA8577894365178712710134,+966553394992,نعم,2020-02-26
E00130,إيمان المقرن,1481496105,التدقيق الداخلي,مسؤول مشتريات,18000,SA3844646282938241495235,+966552847170,لا,2013-02-05
E00131,هيفاء العنزي,1038902829,التدقيق الداخلي,مشرف,11000,SA8865576230807904771695,+966535847628,لا,2016-02-09
E00132,أيمن الزهراني,1408299111,الخدمات المساندة,أخصائي,41000,SA7618644096338364158420,+966533512618,نعم,2019-02-27
E00133,حسن الخالدي,1384554653,ضبط الجودة,محلل,14500,SA1064725300792804253063,+966512312174,لا,2022-10-18
E00134,عبدالوهاب الشهري,1993037124,إدارة المخاطر,موظف خدمة عملاء,18000,SA4441776334301711680600,+966525634380,لا,2025-11-15
E00135,نواف الهاجري,1275874574,التخطيط والتطوير,مدير,8500,SA3028870122678870905135,+966598728653,لا,2021-02-07
E00136,زينب العمري,1366290367,التشغيل,محلل,8500,SA7726107713438304171923,+966503851102,لا,2022-02-09
E00137,لمى العنزي,1974975532,الخدمات المساندة,مشرف,8500,SA7039570677575876908337,+966500401261,نعم,2020-10-17
E00138,معاذ العوفي,1885050631,ضبط الجودة,مهندس,55000,SA2297001312508916643736,+966591029064,لا,2026-04-16
E00139,العنود المطيري,1221129917,الشؤون القانونية,مسؤول مشتريات,27500,SA8554702568726806694448,+966558259667,لا,2016-02-07
E00140,مياء الدوسري,1479894410,ضبط الجودة,أمين مستودع,8500,SA1393385953212153246998,+966512477391,لا,2018-09-12
E00141,منى الرويلي,1067260487,الاتصال المؤسسي,مختص,14500,SA4963956434042820570241,+966529672020,نعم,2012-08-04
E00142,حمد المطيري,1467613301,الموارد البشرية,مهندس,18000,SA6926424759189872302280,+966546602559,نعم,2020-03-13
E00143,زينب البلوي,1210897847,تقنية المعلومات,رئيس قسم,14500,SA5089481611005200797767,+966508760018,نعم,2024-10-10
E00144,خلود البقمي,1405104918,الشؤون القانونية,باحث,14500,SA8107529808522620173237,+966557511802,لا,2011-05-19
E00145,تركي الهاجري,1097370843,الشؤون القانونية,مدقق حسابات,27500,SA4525783723572780754954,+966542828780,نعم,2014-09-05
E00146,لطيفة الزهراني,1566471023,ضبط الجودة,مهندس,18000,SA4338030117663528200443,+966569711597,نعم,2017-04-25
E00147,سلمى الخالدي,1548989779,التشغيل,محلل,41000,SA8715543678325937827296,+966580819977,لا,2013-12-24
E00148,حمد الرويلي,1230092882,إدارة المخاطر,مدير عام مساعد,18000,SA3101723008232064549943,+966513133207,لا,2021-05-30
E00149,فاطمة الدوسري,1123272013,إدارة المعرفة,مشرف,33000,SA1328899856793165676533,+966515116864,نعم,2023-12-03
E00150,عبدالوهاب الحربي,1168068136,التخطيط والتطوير,كبير محللين,18000,SA4072374721765229011963,+966516459223,نعم,2024-11-12
E00151,ناصر المقرن,1753299237,الاتصال المؤسسي,موظف خدمة عملاء,18000,SA7708849443848722076805,+966541464406,نعم,2017-11-21
E00152,محمد السلمي,1578433581,إدارة المعرفة,مدير,14500,SA9747578709846013639227,+966588626164,لا,2024-01-01
E00153,عبدالله العرجاني,1789980230,الموارد البشرية,كبير محللين,6500,SA4089672049741019333170,+966580119749,نعم,2013-03-10
E00154,شهاب المسعود,1420332106,التشغيل,محلل,55000,SA8305696862099648954148,+966524341430,نعم,2021-09-28
E00155,مشعل العتيبي,1168979381,تقنية المعلومات,مطور برمجيات,33000,SA3780707089266607550623,+966560106140,نعم,2025-04-03
E00156,ناصر الشريف,1208006641,الخدمات المساندة,كبير محللين,41000,SA5426826072492979917107,+966520059469,لا,2019-11-02
E00157,نادية الغامدي,1320101775,التشغيل,أمين مستودع,33000,SA4878376792930899069014,+966505911331,لا,2025-10-05
E00158,هند السواط,1769851716,إدارة المعرفة,مشرف,18000,SA8306183092450780878411,+966526584279,لا,2019-05-06
E00159,زياد القرني,183143650,الشؤون القانونية,رئيس قسم,41000,SA5679959542540958133061,+966509575825,نعم,2015-10-25
E00160,صالح العسيري,1222979815,المالية,مختص,6500,SA0248381595629717510117,+966561297138,نعم,2016-03-15
E00161,ابتسام المرواني,1271273425,التشغيل,مسؤول مشتريات,22000,SA7574768465195136583829,+966519726223,نعم,2016-10-26
E00162,نورة العتيبي,1425062898,إدارة المعرفة,مستشار,8500,SA4692489019199532555366,+966524833808,نعم,2025-11-15
E00163,حسن الجهني,1918510254,إدارة المخاطر,مهندس,41000,SA7872915825976693599322,+966570262895,لا,2026-02-04
E00164,رانيا المرواني,1678135292,التدقيق الداخلي,أمين مستودع,14500,SA7620432827811201956855,+966508240439,لا,2014-07-22
E00165,زينب المطيري,1847622683,الشؤون القانونية,مدير عام مساعد,33000,SA3414683540444340578433,+966598176954,نعم,2011-05-18
E00166,أحمد التميمي,1463597276,الخدمات المساندة,مسؤول مشتريات,33000,SA1707046395641707292150,+966565744622,لا,2013-10-18
E00167,راشد السلمي,1752462943,إدارة المعرفة,موظف خدمة عملاء,14500,SA6551256821707286981700,+966552750324,نعم,2024-08-08
E00168,سامي السلمي,1025891027,التخطيط والتطوير,مستشار,11000,SA4100255709574569912276,+966580558942,لا,2023-01-15
E00169,محمد اليامي,1143721445,الشؤون القانونية,مصمم,14500,SA0473848052342449638752,+966502760955,لا,2018-10-04
E00170,طلال الحربي,1339585695,التخطيط والتطوير,مختص,14500,SA6718426858454560685693,+966517104947,لا,2026-03-27
E00171,أيمن الأسمري,1299296465,الموارد البشرية,أمين مستودع,41000,SA9198336807388776819087,+966502619119,لا,2012-04-25
E00172,نجلاء العمري,1405735513,إدارة المعرفة,باحث,27500,SA7149582573615728132517,+966504699295,لا,2022-04-23
E00173,نادية السلمي,1766257297,التخطيط والتطوير,مطور برمجيات,0,SA9121421994898270371326,+966555407689,نعم,2013-03-24
E00174,لطيفة الجهني,1053040810,الاتصال المؤسسي,مدير عام مساعد,55000,SA6242347704788807954588,+966527693681,نعم,2014-10-24
E00175,أريج المالكي,1502264185,تقنية المعلومات,رئيس قسم,8500,SA1056113264743918746818,+966598715974,لا,2015-09-22
E00176,عبدالرحمن الثبيتي,1619545450,تقنية المعلومات,رئيس قسم,27500,SA4004621698541263337661,+966550473087,لا,2017-04-21
E00177,مساعد القرني,1890963414,التخطيط والتطوير,منسق,55000,SA6653369593921742371099,+966584264105,نعم,2018-09-17
E00178,باسل الحربي,1425761754,التخطيط والتطوير,منسق,27500,SA4655923089042914292712,+966584193731,نعم,2025-04-10
E00179,أمل القحطاني,1363841121,التدقيق الداخلي,منسق,14500,SA5253517731458888206437,+966506325168,لا,2025-03-09
E00180,صفاء السبيعي,1459785422,ضبط الجودة,محلل,55000,,+966593404210,نعم,2025-02-21
E00181,عبدالله القرشي,1083783488,التشغيل,أخصائي,18000,SA9623874758224843677020,+966564419430,لا,2023-02-13
E00182,نايف الجهني,1032431676,الاتصال المؤسسي,مشرف,18000,SA4767262464418318752323,+966579033469,نعم,2025-12-20
E00183,سارة الشهراني,1432278719,الخدمات المساندة,موظف خدمة عملاء,33000,SA3264116070679437481572,+966541685339,نعم,2017-05-02
E00184,رامي العمري,1964259053,تقنية المعلومات,مختص,27500,SA3088728000250545762273,+966528958976,لا,2015-10-06
E00185,ميساء العوفي,1498552347,الشؤون القانونية,باحث,14500,SA4413635682975477591613,+966582212421,لا,2012-09-08
E00186,نجود السلمي,1216306025,الخدمات المساندة,أخصائي,27500,SA6284114213762055684936,+966519505272,لا,2011-09-23
E00187,معاذ الدوسري,1651391995,التشغيل,محلل,22000,SA9691248203537713959831,+966576062062,لا,2015-05-02
E00188,تركي السهلي,1016207647,التخطيط والتطوير,كبير محللين,33000,SA1415092443917769144529,+966595575225,لا,2016-09-09
E00189,خالد الشهراني,1305457234,المالية,أمين مستودع,22000,SA3545123818680559070171,+966515398973,لا,2018-08-31
E00190,ميساء الغامدي,1140801208,الخدمات المساندة,كبير محللين,6500,SA9019423559383275389314,+966536968001,لا,2013-12-29
E00191,ميساء المقرن,1408155545,الخدمات المساندة,مهندس,8500,SA7304986356973925092653,+966506365503,نعم,2023-06-20
E00192,إيمان المالكي,1627262999,التشغيل,موظف خدمة عملاء,18000,SA6051125607940849602394,+966506956519,نعم,2022-03-13
E00193,حمد العسيري,1962005243,التدقيق الداخلي,مستشار,11000,SA6541924029167869979908,+966520345818,لا,2014-08-20
E00194,نايف الحوساوي,1840864027,ضبط الجودة,مستشار,6500,SA6885590292013798450501,+966552427001,نعم,2025-03-09
E00195,محمد المرواني,1219099197,إدارة المعرفة,كبير محللين,22000,SA6195879967122238711022,+966563775046,لا,2010-03-27
E00196,باسل المالكي,1605034808,الخدمات المساندة,مشرف,6500,SA2496420768480489196060,+966561836007,لا,2012-02-15
E00197,زينب الشمري,1153209240,تقنية المعلومات,محاسب,14500,SA1470612164372308146417,+966515480567,لا,2015-06-07
E00198,ريم العوفي,1568471880,الاتصال المؤسسي,مختص,18000,SA6284402817779920203847,+966517971862,لا,2023-12-27
E00199,شهد الجهني,1766866451,الشؤون القانونية,منسق,6500,SA1127219590361348398662,+966544359607,نعم,2015-11-10
E00200,أيمن العنزي,1549783973,الموارد البشرية,مختص,27500,SA1186982710491269255050,+966505492161,لا,2023-02-28
E00201,صقر الربيعي,1311861718,الخدمات المساندة,مختص,8500,SA3164021153562106835488,+966529473379,لا,2011-05-17
E00202,يوسف القحطاني,1581122361,التخطيط والتطوير,مختص,18000,SA5990452525545417413309,+966554752943,نعم,2012-09-26
E00203,ماجد الشريف,1637023084,التخطيط والتطوير,محلل,14500,SA5509832659111184107049,+966503309945,لا,2010-11-25
E00204,بدر الزهراني,1893997120,المالية,مصمم,6500,SA8793000667936760891230,+966555215969,نعم,2013-08-22
E00205,غانم البقمي,1144454467,التشغيل,مهندس,11000,SA4698860482793160127020,,لا,2013-05-25
E00206,نجود السواط,1169274717,التشغيل,منسق,55000,SA1385282701386165145603,+966578446166,لا,2019-08-05
E00207,غدير المسعود,1768514588,الخدمات المساندة,محلل,6500,SA8493573706981509573528,+966588262891,نعم,2021-10-02
E00208,محمد الجهني,1394980575,إدارة المخاطر,مدير عام مساعد,8500,SA9390773493076850297116,+966527149434,لا,2011-11-17
E00209,راشد الهاجري,1761633229,إدارة المعرفة,محلل,8500,SA2240071973256432801958,+966594280297,لا,2020-02-27
E00210,أسماء المطيري,1894956224,الاتصال المؤسسي,باحث,18000,SA0862721201047718090216,+966521808774,نعم,2011-06-18
E00211,مشعل الحربي,1460940982,إدارة المعرفة,مدقق حسابات,11000,SA3825252709172763191267,+966578217076,لا,2010-07-24
E00212,رانيا الزبيدي,1253254005,التدقيق الداخلي,مدقق حسابات,27500,SA5655634380578636306071,+966572268901,نعم,2019-11-04
E00213,مشعل السلمي,1648776241,التخطيط والتطوير,مسؤول مشتريات,55000,SA2348271444780555864277,+966546992040,لا,2007-10-03
E00214,عمر البلوي,1923441453,المشتريات,مدير عام مساعد,14500,SA0963970998842632854463,+966582431043,نعم,2011-10-23
E00215,لطيفة العتيبي,1388730242,المالية,رئيس قسم,33000,SA3339403004556950086001,+966505912082,لا,2020-02-20
E00216,حمزة الأسمري,1736837087,الاتصال المؤسسي,مسؤول مشتريات,41000,SA0602587742392186234443,+966598974531,نعم,2018-11-12
