vendor_id,vendor_name_ar,cr_number,vat_number,city,contact_person_ar,contact_email,contact_phone,iban,status,last_updated
V00036,مصنع الشهراني للتعليم والتدريب,4032003031,309613084994273,الطائف,شيماء السبيعي,hind.alghamdi@vendor14.sa.example,+966522105706,SA8334057529947560304126,نشط,2024-07-06
V00037,مؤسسة السلمي للطباعة والنشر,3206801828,352624561166153,حائل,رؤيا العسيري,safaa.alarjani@vendor5.sa.example,+966599912886,SA3025314516459446332581,نشط,2025-05-29
V00038,شركة الغامدي للإعلام والتواصل,6006707271,338477337899953,جازان,الجوهرة التميمي,walid.alshahrani@vendor4.sa.example,+966559093893,SA2274144526319637409807,نشط,2025-10-16
V00039,مختبرات البقمي للتسويق الرقمي,1010970085,358393692352803,الرياض,ناصر الشمري,jasem.almugrin@vendor30.sa.example,+966592297438,SA6043450218582767203083,نشط,2026-04-14
V00040,مجموعة الزياني للتطوير البرمجي,3406150984,366856734241493,بريدة,ناصر المطيري,fahad.almarwani@vendor13.sa.example,+966528535651,SA1027262970415792311735,نشط,2026-01-08
V00041,مجموعة المرواني للتسويق الرقمي,4030415105,383123629781013,جدة,صقر البلوي,amal.alamri@vendor19.sa.example,+966595832593,SA9439034871394251683357,نشط,2025-04-03
V00042,مصنع الحازمي للترجمة والتعريب,4652885210,362051165343693,ينبع,فاطمة الجهني,talal.alarjani@vendor8.sa.example,+966557079548,SA6366583394308355800180,نشط,2024-07-11
V00043,شركة مساهمة المرواني للمستشفيات,2050339945,318811062085263,الدمام,صفاء العنزي,nawaf.albqami@vendor17.sa.example,+966550911049,SA0795489650080408313395,نشط,2024-05-29
V00044,مركز الغامدي للاتصالات,7106581671,357135967823963,سكاكا,رؤيا الغامدي,eman.almalki@vendor9.sa.example,+966578082568,SA0570648799785265793005,نشط,2025-03-28
V00045,مصنع القرني للتطوير البرمجي,5855365894,384173064451683,أبها,سامي الصاعدي,wael.almugrin@vendor11.sa.example,+966551860741,SA1090917195936158189192,نشط,2024-11-19
V00046,شركة الدوسري للتطوير البرمجي,4032432710,365628752801413,الطائف,صفاء الزبيدي,sami.alomari@vendor12.sa.example,+966523134951,SA0935240672773584799652,نشط,2024-09-10
V00047,مصنع العوفي للتطوير البرمجي,4650164009,351174530593033,المدينة المنورة,باسل العنزي,adel.albalawi@vendor9.sa.example,+966587298090,SA0900818440333867217847,نشط,2026-01-08
V00048,شركة الصاعدي للتطوير البرمجي,2050365130,367564982129953,الدمام,دلال المسعود,noura.alfaifi@vendor16.sa.example,+966585892867,SA9832862405519407387849,نشط,2025-07-31
V00049,مكتب اليامي لتقنية المعلومات,6506514426,317755457172043,نجران,مروة الجهني,abdulwahhab.almutairi@vendor27.sa.example,+966566470908,SA1734911947408560704593,نشط,2026-04-29
V00050,مجموعة القحطاني للتطوير البرمجي,5854398577,317011385195373,خميس مشيط,خالد البلوي,salman.almugrin@vendor10.sa.example,+966546929130,SA0902134681603305121240,نشط,2026-04-01
V00051,مكتب السديري للطباعة والنشر,5606008417,370567926457723,تبوك,ريم العمري,naif.alziyani@vendor14.sa.example,+966524003721,SA0241594037840443353515,نشط,2025-06-29
V00052,مكتب الحميدي للخدمات المالية,6906820678,335992155033723,عرعر,ابتسام الحميدي,hind.alsharif@vendor28.sa.example,+966517832066,SA1543670969072162076143,نشط,2026-02-13
V00053,مكتب السديري للاتصالات,3206192468,347074679725413,حائل,وليد التميمي,shaima.alshamri@vendor19.sa.example,+966503293520,SA3691316231543115571104,نشط,2024-05-08
V00054,شركة الرشيدي للأمن السيبراني,1010150585,305897727194703,الرياض,حمزة الشهري,anwar.alasiri@vendor10.sa.example,+966539010475,SA2385540415041610210005,نشط,2024-11-27
V00055,شركة الشهري للتجهيزات الطبية,5854477186,332578975299873,خميس مشيط,مساعد السلمي,shehab.alshehri@vendor17.sa.example,+966576954134,SA0993286443901725822289,نشط,2024-05-14
V00056,شركة مساهمة الزياني للخدمات المالية,3206164169,373956641140483,حائل,صالح الربيعي,nadia.alrubaie@vendor19.sa.example,+966592893657,SA9615732511323769302157,نشط,2024-12-14
V00057,مصنع الزهراني للخدمات اللوجستية,6006570190,307450908231013,جازان,عبدالله الهاجري,abeer.alsalmi@vendor5.sa.example,+966502883778,SA4910827351864780116307,نشط,2024-09-11
V00058,مختبرات السلمي للخدمات البيئية,3206809571,392504813302923,حائل,ريم العمري,asma.altamimi@vendor30.sa.example,+966518801072,SA3426489363701387181030,نشط,2024-05-30
V00059,مؤسسة الزهراني للخدمات البيئية,6506265283,326650469581123,نجران,سعد العمري,alanoud.alashmari@vendor2.sa.example,+966546990902,SA4236389213298620667044,نشط,2025-12-18
V00060,شركة الفيفي للتطوير البرمجي,6506202339,329867207173333,نجران,إيمان الشريف,najoud.aldosari@vendor30.sa.example,+966506472952,SA9670555508195926076182,نشط,2024-07-15
V00061,شركة الرشيدي للصناعات الغذائية,5855252253,395022729925843,أبها,صالح التميمي,hani.almalki@vendor3.sa.example,+966547146730,SA3038782482235334098246,نشط,2024-11-11
V00062,مجموعة الشهري للصناعات الغذائية,3206795677,351963777588373,حائل,زينب السلمي,mishal.alzubaidi@vendor23.sa.example,+966517705715,SA4930321724679702925159,نشط,2024-08-01
V00063,مكتب القرشي للطباعة والنشر,4031257899,328136971704473,مكة المكرمة,فاطمة البلوي,saleh.alkhaldi@vendor23.sa.example,+966588555579,SA5722561574917523999484,نشط,2025-10-28
V00064,مكتب القرشي للتعليم والتدريب,1010203823,333304166793353,الرياض,لمى الحازمي,tala.alzubaidi@vendor30.sa.example,+966538831517,SA7510783823551097040367,نشط,2024-04-16
V00065,مكتب الرشيدي للخدمات المالية,3406821935,312049434206383,بريدة,لطيفة الربيعي,yousef.alharbi@vendor17.sa.example,+966547509988,SA6629943665430569205120,نشط,2026-06-10
V00066,مصنع العنزي للاتصالات,4032034104,351620672267823,الطائف,عبدالكريم السواط,ghanem.almalki@vendor9.sa.example,+966507400834,SA9427249640262972004155,نشط,2025-06-11
V00067,مكتب العنزي للاتصالات,6006903068,306300065348593,جازان,هند البلوي,faisal.alhosawy@vendor23.sa.example,+966579035021,SA0905604973690622321541,نشط,2025-03-10
V00068,مركز السبيعي لتقنية المعلومات,7106326949,369667887510053,سكاكا,أحمد العوفي,anas.albalawi@vendor21.sa.example,+966587017016,SA6229366073761797423670,نشط,2025-07-05
V00069,مختبرات الحربي للاستشارات,7106669749,376567438473623,سكاكا,صفاء الربيعي,muath.althbiti@vendor23.sa.example,+966541684938,SA8781384002284386585029,نشط,2025-03-17
V00070,مكتب العتيبي للتجهيزات الطبية,6506365459,311924655932973,نجران,لين القرشي,ghadeer.alzahrani@vendor20.sa.example,+966543401630,SA3873103368785148345999,نشط,2025-01-15
V00071,مؤسسة اليامي للخدمات اللوجستية,4650717528,329739069705223,المدينة المنورة,حسين العنزي,tala.aljohani@vendor18.sa.example,+966566869781,SA7244830653420743086858,نشط,2024-07-12
V00072,مصنع المطيري للخدمات اللوجستية,6506541371,327149663998733,نجران,فهد الغامدي,kareem.alhajri@vendor19.sa.example,+966522258215,SA3923512251992880310783,نشط,2025-11-02
V00073,مركز الشريف للأعمال العقارية,3406227274,377563671859033,بريدة,ديمة الغامدي,maha.alshahrani@vendor19.sa.example,+966543987968,SA6687719131896448624577,نشط,2020-08-02
V00074,شركة الشمري للاتصالات,7106342011,370161792440613,سكاكا,ماجد العسيري,ruya.althbiti@vendor11.sa.example,+966535981517,SA1523882289753023622884,نشط,2025-10-04
V00075,مصنع اليامي للإعلام والتواصل,4652630927,333117175902633,ينبع,ريم الحازمي,dima.aljohani@vendor18.sa.example,+966564555189,SA8103965437544344295918,نشط,2024-06-23
V00076,مؤسسة الحميدي لتقنية المعلومات,6006298857,358335488048523,جازان,لؤي الحازمي,adel.alhosawy@vendor25.sa.example,+966537348849,SA3120140081671361536640,نشط,2024-07-01
V00077,مكتب الزياني للاستشارات,5855036996,324536710059883,أبها,سامي الفيفي,muath.alfaifi@vendor10.sa.example,+966559122917,SA6341293393846023211373,نشط,2024-12-30
V00078,مؤسسة الشمري للإعلام والتواصل,6506230535,321842588088873,نجران,نجود السبيعي,ghanem.albalawi@vendor25.sa.example,+966547434072,SA2643721966380485165284,نشط,2025-06-09
V00079,مؤسسة العرجاني للبنية التحتية,5855862533,341097387487663,أبها,ميساء السهلي,areej.alsalmi@vendor26.sa.example,+966502322849,SA7999493126597810450175,نشط,2024-04-15
V00080,شركة القرشي للخدمات اللوجستية,3206332718,364348825294393,حائل,خلود القرني,fatima.alsaaidi@vendor11.sa.example,+966518747863,SA1922810050051675513405,نشط,2025-08-27
V00081,مختبرات الزياني للتعليم والتدريب,5606944355,392415786912783,تبوك,مساعد الصاعدي,shahad.aldosari@vendor24.sa.example,+966571175186,SA6019836936447281485881,نشط,2024-09-22
V00082,شركة العسيري للتطوير البرمجي,5855293446,353892793204833,أبها,لمى القرشي,hamza.alhazmi@vendor1.sa.example,+966575384865,SA7190324154731690547480,نشط,2025-03-26
V00083,شركة التميمي للتسويق الرقمي,3406355476,364460828962743,بريدة,رامي القرشي,aljawharah.alsaaidi@vendor11.sa.example,+966593849417,SA2903384818772500912106,نشط,2025-09-22
V00084,مجموعة الفيفي للخدمات اللوجستية,7106808297,392257107912403,سكاكا,سلمى الجهني,zainab.aljohani@vendor23.sa.example,+966580903645,SA2081791617490115179553,نشط,2024-12-03
V00085,مكتب الثبيتي للمستشفيات,5854968637,390778683116373,خميس مشيط,سمر الشريف,samar.alomari@vendor8.sa.example,+966528801285,SA7662951636145178574383,نشط,2026-03-30
V00086,مصنع الزبيدي للبنية التحتية,5855049013,399797423897273,أبها,عبدالكريم السلمي,mayaa.alhajri@vendor13.sa.example,+966574925774,SA0251800038441398525508,نشط,2025-10-29
V00087,شركة مساهمة الحربي للمقاولات,1010114441,394031957413303,الرياض,عبدالله الفيفي,basel.alshamri@vendor23.sa.example,+966544734461,SA7483606327199651253880,نشط,2024-07-16
V00088,شركة القرني للأمن السيبراني,1010275460,344917637415713,الرياض,صالح الدوسري,anas.alruwaily@vendor3.sa.example,+966577450153,SA7308834022259965152710,نشط,2025-07-12
V00089,شركة الرشيدي لتقنية المعلومات,6906347259,382841720240093,عرعر,خالد الزبيدي,bayan.albqami@vendor3.sa.example,+966505376534,SA6975375253112662377653,نشط,2026-04-26
V00090,مجموعة البلوي للإعلام والتواصل,2051509359,332799876363713,الجبيل,أحمد القرني,abdulaziz.alanazi@vendor22.sa.example,+966535447506,SA6630693554071043695797,نشط,2025-08-05
V00091,شركة السبيعي لتقنية المعلومات,4030158313,307952390230653,جدة,سلمان المسعود,fatima.alhazmi@vendor14.sa.example,+966541189496,SA4728395105102859051625,نشط,2026-02-12
V00092,مجموعة الأسمري للتجهيزات الطبية,6506516463,341266228164323,نجران,هاني الأسمري,hussein.albalawi@vendor16.sa.example,+966594772562,SA8471943088573974362230,نشط,2024-04-29
V00093,مكتب البلوي لإدارة المشاريع,3206522785,332451776331933,حائل,سعد الرشيدي,faisal.albqami@vendor20.sa.example,+966503675847,SA6372618433287044694070,نشط,2025-02-07
V00094,مؤسسة العسيري للتجهيزات الطبية,5854405697,302087808842343,خميس مشيط,أيمن الحازمي,heba.alsalmi@vendor30.sa.example,+966597008769,SA3000295262866877224431,نشط,2025-11-15
V00095,مركز الحميدي للأمن السيبراني,4650438391,357832235892803,المدينة المنورة,عبدالكريم الدوسري,wafaa.alsalmi@vendor17.sa.example,+966578268700,SA9021730362683566961530,نشط,2024-07-05
V00096,مختبرات الحوساوي للمستشفيات,4652834882,369233816185773,ينبع,أنوار القرشي,ibtisam.alhajri@vendor5.sa.example,+966558612193,SA7189883398367214243181,نشط,2025-07-25
V00097,مختبرات المالكي للإعلام والتواصل,4652219887,310073408845313,ينبع,حسن الحازمي,basel.alqurashi@vendor4.sa.example,+966560490460,SA8961245629254588662392,نشط,2024-11-24
V00098,مؤسسة العرجاني للإعلام والتواصل,4031729643,335520578390363,مكة المكرمة,سعد الفيفي,fatima.albalawi@vendor15.sa.example,+966595349254,SA2144008255134660306399,نشط,2025-03-17
V00099,مركز العرجاني للتطوير البرمجي,7106017906,384204185562173,سكاكا,طلال البلوي,kareem.almugrin@vendor29.sa.example,+966515610640,SA8414459150603153415666,نشط,2025-07-17
V00100,مجموعة الثبيتي للترجمة والتعريب,3206586515,356719990274103,حائل,صالح الشمري,ahmed.alghamdi@vendor12.sa.example,+966570975079,SA3828814826351941040910,نشط,2024-07-18
V00101,مختبرات الشمري للبنية التحتية,4030826062,399204114383153,جدة,نورة الشريف,ruya.alyami@vendor26.sa.example,+966594990265,SA5052526244566832068200,نشط,2024-05-09
V00102,شركة مساهمة الفيفي للخدمات اللوجستية,2051123378,313211432647083,الجبيل,نجود الرويلي,majed.albalawi@vendor3.sa.example,+966590388960,SA3456729831590891425229,نشط,2024-12-25
V00103,مركز السبيعي للطباعة والنشر,2050217212,334477858129233,الدمام,سارة العامري,areej.alshehri@vendor26.sa.example,+966535044489,SA9317475526236699720052,نشط,2024-04-30
V00104,مؤسسة البقمي للاتصالات,5855351878,321798276850973,أبها,عبدالوهاب الثبيتي,safaa.alrubaie@vendor5.sa.example,+966581195226,SA6406451030006521176992,نشط,2026-01-22
V00105,شركة المطيري للخدمات اللوجستية,2051450262,304419949250283,الجبيل,أنوار الرويلي,reem.alomari@vendor10.sa.example,+966533213818,SA2910382529440240411898,نشط,2025-04-16
V00106,مجموعة الشمري لإدارة المشاريع,4652077081,329195977600353,ينبع,جاسم الحازمي,leen.alrashidi@vendor7.sa.example,+966504819006,SA0209832007811385432640,نشط,2026-06-12
V00107,شركة الحميدي للتجهيزات الطبية,4032156595,383119102281093,الطائف,خالد الربيعي,ghadeer.alsahli@vendor18.sa.example,+966516914094,SA3845801406170068479095,نشط,2025-10-21
V00108,شركة الزياني للصناعات الغذائية,7106164117,363797025802773,سكاكا,عبدالله السواط,shehab.althbiti@vendor24.sa.example,+966575695160,SA2971788437735877844071,نشط,2024-07-30
V00109,مركز القحطاني للطباعة والنشر,2051992694,384487652671863,الجبيل,نجود البلوي,rana.alsalmi@vendor9.sa.example,+966540965528,SA2993059327052858471339,نشط,2026-03-05
V00110,شركة مساهمة المرواني للأعمال العقارية,2051292902,393428189829753,الجبيل,نجود العوفي,dima.alghamdi@vendor19.sa.example,+966587598126,SA2715807034495901657648,نشط,2026-01-24
V00111,مكتب المسعود للمقاولات,3406276934,334708363654823,بريدة,مازن الثبيتي,sultan.alsudairi@vendor26.sa.example,+966579328351,SA7309751893274223623538,نشط,2025-08-08
V00112,مجموعة الحميدي للتسويق الرقمي,4030334995,300370196444933,جدة,ميساء السهلي,haifa.alghamdi@vendor22.sa.example,+966526228854,SA7342464832811029199171,نشط,2026-04-21
V00113,مصنع الخالدي للتطوير البرمجي,3406492671,339333678747013,بريدة,مشعل الحربي,saleh.alanazi@vendor5.sa.example,+966591031940,SA7728082852157984345003,نشط,2025-11-03
V00114,شركة مساهمة الزبيدي للتسويق الرقمي,6906750888,320609928512133,عرعر,هاني الحازمي,safaa.alarjani@vendor29.sa.example,+966532446100,SA1533929778427022384992,نشط,2024-07-20
V00115,مختبرات السديري للأمن السيبراني,5606736066,394544639676703,تبوك,الجوهرة العمري,saad.aljohani@vendor13.sa.example,+966540970598,SA1462320327439587147449,نشط,2026-01-03
V00116,مؤسسة الشمري للتسويق الرقمي,6906952935,304096293841913,عرعر,راشد السهلي,hassan.alshehri@vendor2.sa.example,+966597359207,SA1916540470730929319465,نشط,2024-04-27
V00117,شركة مساهمة القرني للإعلام والتواصل,4031866869,312810400977633,مكة المكرمة,أريج الربيعي,shehab.alhazmi@vendor9.sa.example,+966581548811,SA4625211303813248146985,نشط,2024-09-06
V00118,شركة مساهمة القحطاني للتجهيزات الطبية,6506720217,390291894243503,نجران,سمر القحطاني,rahaf.alashmari@vendor7.sa.example,+966508645747,SA2412241931919818452202,نشط,2024-11-02
V00119,شركة مساهمة العمري للترجمة والتعريب,4031676980,370849517748713,مكة المكرمة,وائل الرشيدي,hamza.albalawi@vendor6.sa.example,+966523222148,SA1962405982350854214659,نشط,2025-10-09
V00120,مختبرات الشهراني للاتصالات,5855880088,319599366123313,أبها,ابتسام الزبيدي,nasser.althbiti@vendor14.sa.example,+966545633970,SA0779848280906894807130,نشط,2025-06-03
V00121,شركة مساهمة البلوي لتقنية المعلومات,5854001597,369858774104183,خميس مشيط,أنس الدوسري,shehab.almalki@vendor20.sa.example,+966564181732,SA0256533734203842698202,نشط,2024-09-10
V00122,مصنع اليامي لتقنية المعلومات,3406829294,375797374023103,بريدة,رنا العتيبي,shehab.alhosawy@vendor17.sa.example,+966513618789,SA1578888770016441492787,نشط,2024-12-16
V00123,مؤسسة الغامدي للتسويق الرقمي,5606531335,375900698142423,تبوك,عبير المسعود,hussein.alyami@vendor2.sa.example,+966500282390,SA1082638103319974670829,نشط,2025-05-25
V00124,مجموعة الزبيدي للاستشارات,2051003311,369485048349993,الجبيل,أريج الشهري,ahmed.alarjani@vendor29.sa.example,+966525303405,SA7216476314328011992223,نشط,2025-08-22
V00125,مكتب التميمي للبنية التحتية,4032524066,343935349404133,الطائف,صفاء الزهراني,tala.alkhaldi@vendor22.sa.example,+966517135462,SA7129122366514419617504,نشط,2025-09-29
V00126,شركة مساهمة الحربي للمستشفيات,2050451607,325137766815613,الدمام,خالد العتيبي,naif.alharbi@vendor4.sa.example,+966503382112,SA3981870622164542834561,نشط,2025-01-26
V00127,مصنع الخالدي للمقاولات,3406613746,310144126375013,بريدة,وليد الزهراني,ayman.albalawi@vendor13.sa.example,+966503987744,SA1647362343465911157281,نشط,2025-01-19
V00128,مصنع الزبيدي للتطوير البرمجي,3406734384,362945123124503,بريدة,عمر العسيري,safaa.alanazi@vendor1.sa.example,+966514521333,SA8838542559546344839432,نشط,2024-08-13
V00129,شركة مساهمة الزياني للترجمة والتعريب,5855337806,369487523080483,أبها,عادل القرني,majed.alotaibi@vendor8.sa.example,+966502709236,SA8538411874327468340969,نشط,2025-12-01
V00130,شركة الزهراني للتعليم والتدريب,4031357215,383508091231693,مكة المكرمة,أيمن الزبيدي,sahar.alamri@vendor18.sa.example,+966536502879,SA8156286850136161973505,نشط,2025-02-02
V00131,مركز الغامدي للتسويق الرقمي,5854985834,307367222602163,خميس مشيط,رانيا الزهراني,dalal.alqarni@vendor13.sa.example,+966525380486,SA4781286497575949034556,نشط,2025-01-28
V00132,مصنع الهاجري للأعمال العقارية,4652198796,325301763059553,ينبع,هاني الغامدي,maisa.alaufi@vendor6.sa.example,+966520534863,SA7007630430745257876478,نشط,2026-02-11
V00133,مختبرات الثبيتي للأعمال العقارية,6506663132,348079304274013,نجران,هيفاء السبيعي,dima.alomari@vendor19.sa.example,+966519414485,SA8456654236665548640705,نشط,2024-08-31
V00134,مجموعة الزهراني للاستشارات,4031835210,301968432720243,مكة المكرمة,حمزة الغامدي,wael.aldosari@vendor19.sa.example,+966536909799,SA4154226815648306722305,نشط,2025-07-30
V00135,شركة مساهمة العنزي للطباعة والنشر,7106958306,365028658234043,سكاكا,شهد العرجاني,hamad.almutairi@vendor11.sa.example,+966599841540,SA6045994573887510485977,نشط,2026-03-30
V00136,مركز الرشيدي للأعمال العقارية,7106387797,327103308711,سكاكا,عبير الرويلي,ibtisam.alsaaidi@vendor29.sa.example,+966527392803,SA0608367881468835459058,نشط ,2024-11-12
V00137,مصنع العسيري للبنية التحتية,6506062561,399612201689833,نجران,أمل المطيري,abdulkarim.alswat@vendor4.sa.example,+966562123416,SA6470524281368011553653,نشط,2026-01-11
V00138,شركة مساهمة البلوي للتعليم والتدريب,2051165141,303387949989073,الجبيل,عبدالكريم القرني,dima.alsahli@vendor19.sa.example,+966529942177,SA0758281670943457991134,نشط,2026-06-06
V00139,شركة مساهمة السبيعي للمستشفيات,5854184911,387400556305573,خميس مشيط,باسل المالكي,mansour.almugrin@vendor9.sa.example,+966511285290,SA2900449411890688641447,نشط,2025-04-29
V00140,مجموعة الحميدي للتجهيزات الطبية,4650213022,336919226313123,المدينة المنورة,نايف البقمي,tala.alhosawy@vendor2.sa.example,+966583405971,SA6337082884791711988269,نشط,2025-08-11
V00141,مكتب الهاجري للمستشفيات,6006746981,335657630763423,جازان,سلطان الشمري,rania.alhajri@vendor21.sa.example,+966521567201,SA7367049321328882243971,نشط,2025-09-09
V00142,شركة العتيبي للاستشارات,4032280276,391314097360013,الطائف,خالد البقمي,marwa.albqami@vendor7.sa.example,+966506401289,SA8523864931371742899935,نشط,2025-03-24
V00143,شركة الشمري للتطوير البرمجي,4652861433,394864943622653,ينبع,إبراهيم الحربي,salma.alarjani@vendor9.sa.example,+966594136896,SA8977405061374011446414,نشط,2025-02-28
V00144,مكتب المسعود لإدارة المشاريع,4650212828,354388571263223,المدينة المنورة,تالا الشريف,abdullah.alzahrani@vendor26.sa.example,+966546573509,SA8621038271554276600750,نشط,2024-05-06
