invoice_no,vendor_id,issue_date,currency,subtotal,vat_amount,total_amount,cost_center,approved_by_id,payment_iban
INV-2026-000147,V00833,2024-12-28,SAR,356025.86,53403.88,409429.74,إدارة المعرفة,1353410846,SA0535507200174688074595
INV-2026-000148,V00571,2025-05-23,SAR,940183.54,141027.53,1081211.07,إدارة المخاطر,1436410839,SA9541823990504587976833
INV-2026-000149,V01297,2025-09-02,SAR,276816.43,41522.46,318338.89,إدارة المعرفة,1835925643,SA4382180468760282967673
INV-2026-000150,V00682,2026-05-12,SAR,883801.55,132570.23,1016371.78,التخطيط والتطوير,1566748347,SA5755577224116419081129
INV-2026-000151,V01411,2025-12-31,SAR,907010.29,136051.54,1043061.83,إدارة المعرفة,1790246126,SA1775878565387197683253
INV-2026-000152,V01467,2025-08-07,SAR,452525.1,67878.76,520403.86,الموارد البشرية,1551968900,SA5306571941628549405715
INV-2026-000153,V00138,2025-01-05,SAR,290677.76,43601.66,334279.42,المالية,1860150323,SA9579455051561231398033
INV-2026-000154,V00023,2026-05-03,SAR,607701.9,91155.29,698857.19,إدارة المخاطر,1799833585,SA5837148177594899133647
INV-2026-000155,V01129,2026-05-30,SAR,259877.84,38981.68,298859.52,المالية,1082924141,SA4169139140058124409092
INV-2026-000156,V00209,2025-12-05,SAR,302421.33,45363.2,347784.53,الاتصال المؤسسي,1343383780,SA5749312343884211801820
INV-2026-000157,V00391,2025-01-08,SAR,796927.15,119539.07,916466.22,تقنية المعلومات,1753906278,SA5173512376912874554658
INV-2026-000158,V00827,2025-01-24,SAR,759508.23,113926.23,873434.46,الاتصال المؤسسي,1092803244,SA0853788477456815436753
INV-2026-000159,V00171,2026-01-24,SAR,253655.91,38048.39,291704.3,المالية,1171604398,SA0832308529428400201962
INV-2026-000160,V00314,2025-12-31,SAR,758309.41,113746.41,872055.82,الموارد البشرية,1688079803,SA4689807372732420343966
INV-2026-000161,V01193,2025-12-14,SAR,551074.71,82661.21,633735.92,التخطيط والتطوير,1700918418,SA3751461043850364309130
INV-2026-000162,V00387,2026-03-29,SAR,102327.72,15349.16,117676.88,الاتصال المؤسسي,1087784862,SA7811374221038104533558
INV-2026-000163,V00132,2025-05-24,SAR,776732.87,116509.93,893242.8,التدقيق الداخلي,1796769436,SA9076534091926851375325
INV-2026-000164,V00417,2026-06-08,SAR,339220.05,50883.01,390103.06,الموارد البشرية,1986776738,SA1248323739121507967893
INV-2026-000165,V01157,2025-11-05,SAR,132041.18,19806.18,151847.36,إدارة المخاطر,1596229698,SA5727536748214846028400
INV-2026-000166,V00324,2025-08-30,SAR,18060.85,2709.13,20769.98,التدقيق الداخلي,1223033182,SA5166148697586678861920
INV-2026-000167,V01256,2026-04-16,SAR,764304.7,114645.7,878950.4,الاتصال المؤسسي,1831263775,SA4443882167271927081088
INV-2026-000168,V00481,2025-01-13,SAR,517886.72,77683.01,595569.73,الموارد البشرية,1540495478,SA1017373748387921389143
INV-2026-000169,V00877,2026-06-14,SAR,794020.45,119103.07,913123.52,إدارة المخاطر,1141356665,SA5731349076152580137355
INV-2026-000170,V00012,2026-04-01,SAR,133824.92,20073.74,153898.66,تقنية المعلومات,1144141593,SA1612431879300212900904
INV-2026-000171,V00338,2025-11-02,SAR,212346.51,31851.98,244198.49,إدارة المخاطر,1227386479,SA4294007789271619074067
INV-2026-000172,V01006,2025-08-01,SAR,699407.52,104911.13,804318.65,الخدمات المساندة,1137307011,SA8255428014730119871972
INV-2026-000173,V00342,2025-03-28,SAR,930256.73,139538.51,1069795.24,تقنية المعلومات,1491283733,SA1985203654107550059311
INV-2026-000174,V00741,2025-03-30,SAR,581730.72,87259.61,668990.33,الشؤون القانونية,1148732769,SA4197652704456444305110
INV-2026-000175,V00968,2026-01-29,SAR,318145.14,47721.77,365866.91,المشتريات,1246885626,SA5187870923256961124738
INV-2026-000176,V00518,2025-06-06,SAR,636475.16,95471.27,731946.43,تقنية المعلومات,1710106673,SA9302506611185908734919
INV-2026-000177,V01072,2026-03-28,SAR,889043.16,133356.47,1022399.63,إدارة المخاطر,1334877352,SA8187545097021010108933
INV-2026-000178,V00359,2025-04-15,SAR,10234.23,1535.13,11769.36,المشتريات,1142481090,SA9472066043544257181036
INV-2026-000179,V00366,2025-04-03,SAR,868819.03,130322.85,999141.88,الاتصال المؤسسي,1336621261,SA5053365675663696542187
INV-2026-000180,V00844,2026-04-19,SAR,866719.2,130007.88,996727.08,ضبط الجودة,1188789299,SA3848189478610415171725
INV-2026-000181,V01411,2025-05-08,SAR,661681.55,99252.23,760933.78,الاتصال المؤسسي,1763998182,SA1346027192095515100307
INV-2026-000182,V00319,2026-06-04,SAR,569163.28,85374.49,654537.77,ضبط الجودة,1310455256,SA6452348302647362133337
INV-2026-000183,V01088,2025-12-17,SAR,688865.22,103329.78,792195.0,الموارد البشرية,1139787624,SA2886483856019486516283
INV-2026-000184,V00684,2025-12-05,SAR,154591.17,23188.68,177779.85,إدارة المعرفة,1475275457,SA2975347764226768317469
INV-2026-000185,V01238,2025-04-04,SAR,315298.5,47294.78,362593.28,الخدمات المساندة,1495783258,SA3948287497955249389959
INV-2026-000186,V00083,2025-07-17,SAR,753783.73,113067.56,866851.29,إدارة المخاطر,1287582132,SA2774579208953936633269
INV-2026-000187,V01406,2025-05-29,SAR,167129.73,25069.46,192199.19,تقنية المعلومات,1780082028,SA6314352824943808280411
INV-2026-000188,V01457,2025-10-08,SAR,349639.12,52445.87,402084.99,إدارة المعرفة,1605376084,SA9117229583082963400011
INV-2026-000189,V01193,2025-05-05,SAR,585071.92,87760.79,672832.71,الخدمات المساندة,1466406806,SA9271653780988544843697
INV-2026-000190,V00806,2025-01-06,SAR,738807.83,110821.17,849629.0,,1694411495,SA6760378608228628600225
INV-2026-000191,V01094,2025-02-14,SAR,617470.64,92620.6,710091.24,الاتصال المؤسسي,1892999473,SA6061574682605952510207
INV-2026-000192,V00166,2026-02-09,SAR,209394.87,31409.23,240804.1,المشتريات,1204490328,SA7770272201667478126653
INV-2026-000193,V00233,2025-06-07,SAR,289942.79,43491.42,333434.21,الخدمات المساندة,1273552412,SA3113083310432258059038
INV-2026-000194,V00731,2025-11-21,SAR,381128.75,57169.31,438298.06,التدقيق الداخلي,1263569657,SA2252006081463219646241
INV-2026-000195,V01080,2025-07-12,SAR,639219.22,95882.88,735102.1,ضبط الجودة,1964427031,SA7666743055830589324007
INV-2026-000196,V00173,2025-05-18,SAR,652343.74,97851.56,750195.3,الموارد البشرية,1318349303,SA7147383686293223760334
INV-2026-000197,V00716,2025-06-25,SAR,891402.77,133710.42,1025113.19,المشتريات,1946903406,SA7806480136374423657782
INV-2026-000198,V01249,2025-06-14,SAR,404989.61,60748.44,465738.05,إدارة المعرفة,1009143080,SA8279639271159677276629
INV-2026-000199,V00814,2026-03-23,SAR,643449.21,96517.38,739966.59,تقنية المعلومات,1644777607,SA2804808305862714400517
INV-2026-000200,V00232,2025-08-02,SAR,862905.79,129435.87,992341.66,تقنية المعلومات,1224857068,SA1698947980784231196850
INV-2026-000201,V00461,2026-04-05,SAR,924682.02,138702.3,1063384.32,الخدمات المساندة,1919211498,SA0552080868995662976271
INV-2026-000202,V00418,2026-03-09,SAR,348233.47,52235.02,400468.49,الشؤون القانونية,1937886263,SA6261995481015276485268
INV-2026-000203,V00645,2025-02-26,SAR,459152.24,68872.84,528025.08,الاتصال المؤسسي,1082157981,SA5236918910118719816617
INV-2026-000204,V00326,2025-08-14,SAR,702969.89,105445.48,808415.37,إدارة المعرفة,1299992642,SA4533795613382465334854
INV-2026-000205,V01298,2025-09-06,SAR,124155.62,18623.34,142778.96,الاتصال المؤسسي,1376802540,SA2501103953895113310314
INV-2026-000206,V00004,2025-01-22,SAR,169979.56,25496.93,195476.49,المشتريات,1491746770,SA9763172214369310796498
INV-2026-000207,V00254,2025-01-04,SAR,715440.1,107316.01,822756.11,المالية,1113845794,SA6486808103268463389680
INV-2026-000208,V00479,2025-06-26,SAR,839350.07,125902.51,965252.58,المشتريات,1109630622,SA8073324933641128467199
INV-2026-000209,V00836,2025-11-17,SAR,924981.05,138747.16,1063728.21,المالية,1331464097,SA4855573047640150345354
INV-2026-000210,V00632,2025-03-12,SAR,360210.79,54031.62,414242.41,التشغيل,1085157954,SA6756503515469616243215
INV-2026-000211,V00717,2025-03-13,SAR,558177.17,83726.58,641903.75,الاتصال المؤسسي,1568258998,SA5227395116192043082268
INV-2026-000212,V00647,2025-10-05,SAR,403763.84,60564.58,464328.42,الاتصال المؤسسي,1493235061,SA8186474139807607491261
INV-2026-000213,V01326,2025-03-17,SAR,778238.64,116735.8,894974.44,التدقيق الداخلي,1907003725,SA5442746619736965110537
INV-2026-000214,V01082,2025-10-30,SAR,113222.37,16983.36,130205.73,إدارة المخاطر,1928454147,SA6385102284742126068221
INV-2026-000215,V00244,2026-01-02,SAR,370664.31,55599.65,426263.96,التخطيط والتطوير,1736574185,SA7574339032143098287690
INV-2026-000216,V00148,2025-02-23,SAR,460057.87,69008.68,529066.55,التشغيل,1827447283,SA9481571865664552808973
